SC,名称,市場,業種,時価総額(百万円),発行済株式数,配当利回り（予想）,1株配当（予想）,PER（予想）,PBR（実績）,EPS（予想）,BPS（実績）,最低購入額,単元株,高値日付,年初来高値,安値日付,年初来安値
7388,FPパートナー,東証PR,保険,56746,23001900,3.81,94,14,5.01,176.18,492.12,246700,100,20250321,2664,20250107,2076
7389,あいちフィナンシャルグループ,東証PR,銀行,125268,49124671,4.31,110,24.52,0.34,103.98,7510.94,255000,100,20250326,3040,20250407,2172
7399,ナンシン,東証ST,輸送用機器,4316,7708000,3.57,20,14.93,0.32,37.5,1740.75,56000,100,20250205,584,20250407,490
7414,小野建,東証PR,卸売,37284,25123913,4.65,69,8.59,0.39,172.76,3803.75,148400,100,20250310,1563,20250407,1250
7417,南陽,東証ST,卸売,15307,13230140,4.67,54,7.61,0.57,152.06,2027.16,115700,100,20250324,1254,20250407,1022
7420,佐鳥電機,東証PR,卸売,29648,17946826,5.21,86,9.48,0.74,174.35,2224.69,165200,100,20250108,1793,20250407,1335
7425,初穂商事,東証ST,卸売,6505,3480660,4.01,75,6.15,0.65,303.79,2874.06,186900,100,20250422,1905,20250407,1442
7427,エコートレーディング,東証ST,卸売,5043,6075546,3.61,30,5.15,0.44,161.2,1898.7,83000,100,20250107,942,20250407,710
7433,伯東,東証PR,卸売,80956,21137213,5.22,200,14.71,1.1,260.41,3483.44,383000,100,20250214,4640,20250407,3330
7435,ナ・デックス,東証ST,卸売,7957,9063200,3.76,33,49.49,0.4,17.74,2216.31,87800,100,20250328,939,20250313,835
7438,コンドーテック,東証PR,卸売,36935,26344400,3.28,46,10.86,1.01,129.12,1383.72,140200,100,20250328,1462,20250407,1205
7451,三菱食品,東証ST,卸売,232924,43537200,3.46,185,10.19,1.09,525.22,4913.28,535000,100,20250502,5390,20250407,4470
7458,第一興商,東証PR,卸売,179036,109468400,3.49,57,10.66,1.53,153.37,1066.85,163550,100,20250107,1854,20250407,1530
7460,ヤギ,東証ST,卸売,18847,9140000,4.36,90,7.84,0.41,263.17,5050.94,206200,100,20250106,2197,20250407,1718
7461,キムラ,東証ST,卸売,6952,15180000,3.49,16,6.23,0.43,73.49,1077.28,45800,100,20250127,539,20250407,391
7463,アドヴァングループ,東証ST,小売,37156,45312692,4.88,40,-,0.54,-,1516.5,82000,100,20250128,1033,20250411,719
7464,セフテック,東証ST,卸売,3486,2000000,4.88,85,10.8,0.43,161.41,4026.24,174300,100,20250131,1898,20250407,1681
7467,萩原電気ホールディングス,東証PR,卸売,31012,10118000,6.04,185,7.93,0.62,386.39,4977.74,306500,100,20250212,3640,20250407,2650
7472,鳥羽洋行,東証ST,卸売,16168,4700000,3.78,130,9.88,0.66,348.17,5196.44,344000,100,20250115,3825,20250407,3000
7480,スズデン,東証ST,卸売,27239,14652600,4.79,89,16.81,1.43,110.57,1298.56,185900,100,20250318,1997,20250407,1654
7481,尾家産業,東証ST,卸売,18279,9255000,4.56,90,6.73,1.19,293.41,1662.96,197500,100,20250327,2080,20250407,1699
7482,シモジマ,東証PR,卸売,29134,23647826,4.38,54,11.51,0.82,107.06,1501.07,123200,100,20250306,1365,20250407,1065
